gene_id,mean_group1,mean_group2,fold_change,log2_fold_change,p_value,test_statistic,p_value_adjusted
219222_at,6.5473097455875315,6.662289459794095,1.017561367748647,0.025115804100248166,0.5563274762051574,-0.6139060952297256,0.98162806621557
218953_s_at,7.287094181976533,7.195767992449584,0.9874674064522413,-0.01819496526798054,0.5563652576509341,0.6138460010457586,0.98162806621557
217140_s_at,9.3758705999614,9.20863719991069,0.9821634270366958,-0.025964993200363506,0.5563863872127597,0.6138123939532932,0.98162806621557
213810_s_at,5.732264147324878,5.842820386656601,1.0192866616907938,0.027559848598140122,0.5564482624778492,-0.6137139840924607,0.98162806621557
204398_s_at,7.607943008597308,7.548756786249321,0.9922204698062138,-0.011267374117881108,0.5564485787037964,0.6137134811655389,0.98162806621557
218751_s_at,7.177704606138432,7.283156734786314,1.014691622800651,0.021041341347613752,0.556530918621687,-0.6135825331290137,0.98162806621557
216845_x_at,6.934584252083256,6.890935486997412,0.9937056406701338,-0.009109540522369593,0.5566098742380041,0.6134569778812864,0.98162806621557
202818_s_at,9.703921970329443,9.813466271274947,1.0112886625923463,0.01619485940581032,0.5566570567432055,-0.6133819532053187,0.98162806621557
210504_at,5.66488026044593,5.56648759962374,0.9826311137573023,-0.025278173982126773,0.556674268959558,0.613354585065855,0.98162806621557
213103_at,7.950500819263267,8.033096307963516,1.0103887151989381,0.014910431196291929,0.5567347837508717,-0.6132583679504812,0.98162806621557
205479_s_at,8.216618727948767,8.521585684074708,1.0371158704356815,0.052577086402256404,0.5567709513755019,-0.6132008651781412,0.98162806621557
207423_s_at,6.029689830777707,5.978065789030557,0.9914383586559224,-0.012405017265208986,0.5567747805893869,0.6131947772527213,0.98162806621557
200658_s_at,10.060384717357842,9.943732460078579,0.988404791610206,-0.01682609027537366,0.5567776341655342,0.6131902404735079,0.98162806621557
201544_x_at,11.245010645936937,11.156116842995552,0.9920948226960101,-0.011450077404722757,0.5567843693323022,0.6131795325724176,0.98162806621557
48531_at,8.367274214444542,8.489163249480859,1.0145673527498236,0.02086464257388003,0.5568065587279225,-0.6131442553087085,0.98162806621557
202586_at,7.213954126987129,7.279022548151735,1.0090197996853332,0.012954484283298241,0.5568073162461804,-0.6131430510014503,0.98162806621557
214684_at,6.561286871565952,6.668409085449492,1.0163264030334913,0.023363811965006618,0.5568206286349935,-0.6131218870385049,0.98162806621557
207572_at,4.887255660327896,4.916085359640414,1.0058989546109778,0.008485389633209751,0.5568471372890511,-0.6130797446040375,0.98162806621557
211553_x_at,4.931977859448109,4.975444140084924,1.0088131540480352,0.012658992392711564,0.556870740904687,-0.6130422214720985,0.98162806621557
220991_s_at,4.025446396342824,4.05377960240453,1.007038525239697,0.010118876104488564,0.5568926821960056,-0.6130073418015968,0.98162806621557
218154_at,8.397903048071731,8.324004748193062,0.9912003866375145,-0.012751344656713013,0.5569422707081904,0.6129285148004759,0.98162806621557
215850_s_at,4.1994819198577265,4.234132236699524,1.0082510932307982,0.011854970036172975,0.5569552326514284,-0.6129079108820836,0.98162806621557
215846_at,4.370141881783075,4.3947986521998335,1.0056420983766088,0.008116950503410018,0.5569598901102405,-0.6129005075927398,0.98162806621557
